"X4_colonias_id","X1_Sent2.B01","X1_Sent2.B02","X1_Sent2.B03","X1_Sent2.B04","X2_Srtm.DEM","X3_TreeCover","X4_alcaldias_id","latitud","longitud","temperatura","direcc_vient","humedad"
397,455.833333333333,495.833333333333,653.833333333333,716,2249.36437988281,3.5,2,19.5081437428792,-99.1903610229492,19.5472222222222,118.666666666667,31
398,773.761904761905,882.904761904762,1123.09523809524,1333.19047619048,2233.15750558036,0,7,19.4836247762044,-99.0906230381557,19.0666666666667,120.916666666667,40
399,675,847.5,1063,1391,2234.23254394531,0,7,19.483302116394,-99.0919570922852,19.0666666666667,120.916666666667,40
400,615.532967032967,701.137362637363,895.346153846154,1115.06043956044,2238.1436217591,0.0824175824175824,4,19.336363530421,-99.133598956433,19.125,97.2777777777778,34
401,829.453608247423,933.659793814433,1153.52577319588,1357.81443298969,2232.10669700387,0,9,19.3683728876802,-99.0375758692161,19.0694444444444,149.055555555556,35
402,905.566265060241,1019.30120481928,1264.74698795181,1499.87951807229,2236.75399743505,0,9,19.3694264974939,-99.0262228724468,19.0694444444444,146.222222222222,35
403,810.519230769231,926.625,1168.86538461538,1409.75,2234.52326847957,0,9,19.3684241221501,-99.0298273379986,19.0694444444444,149.055555555556,35
404,674.414634146341,774.439024390244,947.178861788618,1090.91056910569,2286.52309411522,0,14,19.2723032323326,-99.1570830306387,18.7638888888889,74.4444444444444,36
405,696.556451612903,793.217741935484,966.604838709677,1110.17741935484,2306.69461945565,0.241935483870968,14,19.2676341918207,-99.1589940594089,18.7638888888889,74.4444444444444,36
406,779.383333333333,931.533333333333,1149.1,1320.16666666667,2232.00211588542,0,7,19.4692462921143,-99.0926034291585,19.1277777777778,120.277777777778,40
407,779.326086956522,911.804347826087,1134.19565217391,1284.80434782609,2234.30668839164,0.0434782608695652,7,19.4657814606376,-99.0777934530507,19.0416666666667,122.083333333333,40
408,662.714285714286,747,965.857142857143,1184.57142857143,2229.13455636161,0,9,19.3858582632882,-99.0437469482422,19.1305555555556,141.888888888889,35
409,821.621951219512,918.243902439024,1130.39024390244,1381.91463414634,2231.89583829554,0,9,19.3872756492801,-99.0492008488353,19.1305555555556,141.888888888889,35
410,755.121621621622,844.162162162162,1065.78378378378,1320.18918918919,2232.01671703442,0,9,19.3866064999555,-99.0568480620513,19.3138888888889,140.166666666667,37
411,756.157894736842,860.763157894737,1074.15789473684,1344.68421052632,2232.76840691817,0,9,19.3823761187102,-99.0531288950067,19.1305555555556,138.888888888889,35
412,716.228110599078,863.200460829493,1148.57142857143,1432.34331797235,2232.45262321789,0.135944700460829,9,19.3825001474899,-99.0483884855349,19.1305555555556,141.888888888889,35
413,686.508928571429,778.276785714286,999.321428571429,1204.40178571429,2228.92079162598,0,9,19.3820449454444,-99.0355245726449,19.1305555555556,140.388888888889,35
414,931.181818181818,997.363636363636,1229.45454545455,1434.09090909091,2387.80775035511,0.272727272727273,1,19.3805436221036,-99.2356914173473,18.1861111111111,74.7777777777778,41
415,737.455696202532,856.645569620253,1069.53164556962,1283.86075949367,2247.7212037678,0,7,19.5299999623359,-99.1479288415064,18.8638888888889,94.3611111111111,37
416,505.670454545455,618.215909090909,860.102272727273,1026.77272727273,2252.02744085139,0.125,7,19.5342564149336,-99.1441969438033,18.8638888888889,94.3611111111111,37
417,657.866666666667,754.533333333333,962.333333333333,1179.8,2258.3671875,0,7,19.5379536946615,-99.1444127400716,18.8638888888889,99.9444444444444,37
418,868.5,1000.4,1197.7,1354.2,2278.95405273438,0,7,19.536364364624,-99.1410049438477,18.8361111111111,97.1388888888889,37
419,838.538461538462,937.015384615385,1170.75384615385,1403.90769230769,2229.54795673077,0,15,19.4251207204965,-99.0633892352764,19.1527777777778,133,35
420,892.153846153846,1004.07692307692,1242.38461538462,1441.69230769231,2228.82036884014,0,15,19.4232441828801,-99.0567310039814,19.1805555555556,137.944444444444,35
421,816.36,904.08,1137.32,1356.64,2228.82866210937,0,15,19.4254707336426,-99.0567147827148,19.1861111111111,143.444444444444,35
422,798.926829268293,903.463414634146,1135.39837398374,1355.42276422764,2229.92638465447,0,15,19.4294922836428,-99.0574041227015,19.1166666666667,143.333333333333,35
423,773.4,869.36,1088.72,1376.96,2229.03680664062,0,15,19.4287228393555,-99.0608251953125,19.0138888888889,135.666666666667,35
424,364.409638554217,481.951807228916,652.44578313253,751.506024096386,2646.66327419051,1.8433734939759,14,19.207205347268,-99.1384349960879,18.5138888888889,76.1666666666667,36
425,745,939.5,1120.5,1324,2511.5869140625,0,1,19.3545780181885,-99.258975982666,18.1333333333333,66.7777777777778,41
426,824.2,971.6,1110,1209.4,2334.34458007813,0,1,19.3914337158203,-99.2004470825195,18.5583333333333,65.0277777777778,29
427,734.333333333333,828,1013.66666666667,1137,2311.96809895833,0,1,19.3936004638672,-99.1958770751953,18.5583333333333,65.0277777777778,29
428,821.333333333333,972,1144.33333333333,1290.66666666667,2317.88305664062,0,1,19.3930587768555,-99.197021484375,18.5583333333333,65.0277777777778,29
